SYR;Сирия;Syria
MYS;Малайзия;Malaysia
MYT;Майотта;Mayotte
NAM;Намибия;Namibia
NCL;Новая Каледония;New Caledonia
NER;Нигер;Niger
NFK;Остров Норфолк;Norfolk Island
NGA;Нигерия;Nigeria
NIC;Никарагуа;Nicaragua
NIU;Ниуе;Niue
NLD;Нидерланды;Netherlands
NOR;Норвегия;Norway
NRU;Науру;Nauru
NZL;Новая Зеландия;New Zealand
OMN;Оман;Oman
PAK;Пакистан;Pakistan
PAN;Панама;Panama
PCN;Питкерн;Pitcairn Islands
PER;Перу;Peru
PHL;Филиппины;Philippines
PLW;Палау;Palau
PNG;Папуа-Новая Гвинея;Papua New Guinea
POL;Польша;Poland
PRI;Пуэрто-Рико;Puerto Rico
PRK;Северная Корея;North Korea
PRT;Португалия;Portugal
PRY;Парагвай;Paraguay
PYF;Французская Полинезия;French Polynesia
QAT;Катар;Qatar
REU;Реюньон;R?union
ROU;Румыния;Romania
RUS;Россия;Russia
RWA;Руанда;Rwanda
SDN;Судан;Sudan
SEN;Сенегал;Senegal
SGP;Сингапур;Singapore
SGS;Южная Джорджия и Южные Сандвичевы Острова;South Georgia and the South Sandwich Islands
SHN;Остров Святой Елены;Saint Helena
SJM;Свальбард и Ян-Майен;Svalbard and Jan Mayen
SLB;Соломоновы Острова;Solomon Islands
SLE;Сьерра-Леоне;Sierra Leone
SLV;Сальвадор;El Salvador
SMR;Сан-Марино;San Marino
SOM;Сомали;Somalia
SPM;Сен-Пьер и Микелон;Saint Pierre and Miquelon
STP;Сан-Томе и Принсипи;S?o Tom? and Pr?ncipe
SUR;Суринам;Suriname
SVK;Словакия;Slovakia
SVN;Словения;Slovenia
SWE;Швеция;Sweden
SWZ;Свазиленд;Swaziland
TCA;Острова Тёркс и Кайкос;Turks and Caicos Islands
TCD;Чад;Chad
TGO;Того;Togo
THA;Таиланд;Thailand
TJK;Таджикистан;Tajikistan
TKL;Токелау;Tokelau
TKM;Туркменистан;Turkmenistan
TLS;Восточный Тимор;Timor-Leste
TON;Тонга;Tonga
TTO;Тринидад и Тобаго;Trinidad and Tobago
TUN;Тунис;Tunisia
TUR;Турция;Turkey
TUV;Тувалу;Tuvalu
TWN;Тайвань;Taiwan
TZA;Танзания;Tanzania
UGA;Уганда;Uganda
UKR;Украина;Ukraine
UMI;Внешние малые острова (США);U.S. Minor Outlying Islands
URY;Уругвай;Uruguay
USA;США;United States
UZB;Узбекистан;Uzbekistan
VCT;Сент-Винсент и Гренадины;Saint Vincent and the Grenadines
VGB;Британские Виргинские Острова;British Virgin Islands
VIR;Американские Виргинские острова;U.S. Virgin Islands
VNM;Вьетнам;Vietnam
VUT;Вануату;Vanuatu
WLF;Уоллис и Футуна;Wallis and Futuna
WSM;Самоа;Samoa
YEM;Йемен;Yemen
YUG;Югославия;Yugoslavia
ZMB;Замбия;Zambia
ZWE;Зимбабве;Zimbabwe
AFG;Афганистан;Afghanistan
VEN;Венесуэла;Venezuela
VAT;Ватикан;Vatican City
KOR;Южная Корея;South Korea
NPL;Непала;Nepal
LBY;Ливия;Libya
ZAF;ЮАР;South Africa
LAO;Лаос;Laos
MMR;Мьянма;Myanmar [Burma]
SYC;Сейшельские острова;Seychelles
GNB;Гвинея-Бисау;Guinea-Bissau
PSE;Палестина;Palestinian Territories
DOM;Доминиканская Республика;Dominican Republic
SRB;Сербия;Serbia
SAU;Саудовская Аравия;Saudi Arabia
